Reference,Type, Value, Footprint
JP1,Jumper,Short 5V,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm
JP2,Jumper,FORCE PWR,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm
JP3,I2C Addr Selection,DAC A0,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm
L1,Inductor,3u3,Inductor_SMD:L_10.4x10.4_H4.8
R1,Resistor,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R10,Resistor,23K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R11,Resistor,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R12,Resistor,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R13,Resistor,100K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R14,Resistor,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R15,Resistor,20K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R16,Resistor,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R17,Resistor,10,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R18,Resistor,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R2,Resistor,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R3,Resistor,50K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R4,Resistor,73K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R5,Resistor,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R6,Resistor,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R7,Resistor,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R8,Resistor,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
R9,Resistor,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder
SW1,Push Button,WAKE,Livrary:SW_PUSH_TS_1224W
SW2,Push Button,RESET,Livrary:SW_Push_1P1T_Mini4x4x1.5
SW3,Push Button,SEL,Livrary:SW_PUSH_TS_1224W
SW4,Switch Button,SWITCH,Livrary:SW_MSK_01S
SW5,Switch Button,SWITCH,Livrary:SPDT_Small
SW6,Push Button,WAKE,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS
SW7,Push Button,SEL,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS
TP1,Test Point,GND,TestPoint:TestPoint_Pad_D1.5mm
TP7,Test Point,VREG,TestPoint:TestPoint_Pad_D1.5mm
TP8,Test Point,CHG V,TestPoint:TestPoint_Pad_D1.5mm
U1,IC,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm
U2,IC,WT32-SC01,Livrary:WS32-SC01-H
U3,IC,DW01x,Package_TO_SOT_SMD:TSOT-23-6
U4,IC,TP4056,Livrary:SOP-8_EP
U5,IC,FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm
U6,IC,FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm
U7,IC,MCP4725-DAC7571,Package_TO_SOT_SMD:SOT-23-6
U8,IC,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
